time,discharge
1975-08-31,3.821
1975-09-30,5.629
1975-10-31,6.211
1975-11-30,5.040
1975-12-31,
1976-01-31,6.766
1976-02-29,7.893
1976-03-31,4.291
1976-04-30,2.930
1976-05-31,2.163
1976-06-30,1.260
1976-07-31,1.173
1976-08-31,1.126
1976-09-30,2.265
1976-10-31,4.643
1976-11-30,3.954
1976-12-31,9.634
1977-01-31,11.255
1977-02-28,7.609
1977-03-31,4.510
1977-04-30,4.366
1977-05-31,4.468
1977-06-30,
1977-07-31,
1977-08-31,
1977-09-30,
1977-10-31,1.202
1977-11-30,2.892
1977-12-31,9.926
1978-01-31,9.554
1978-02-28,7.237
1978-03-31,3.164
1978-04-30,3.178
1978-05-31,4.517
1978-06-30,4.444
1978-07-31,3.933
1978-08-31,4.861
1978-09-30,5.584
1978-10-31,5.549
1978-11-30,8.720
1978-12-31,10.645
1979-01-31,6.714
1979-02-28,9.423
1979-03-31,
1979-04-30,5.564
1979-05-31,3.649
1979-06-30,1.461
1979-07-31,1.448
1979-08-31,1.328
1979-09-30,1.729
1979-10-31,4.828
1979-11-30,4.433
1979-12-31,13.842
1980-01-31,9.112
1980-02-29,4.290
1980-03-31,7.273
1980-04-30,4.820
1980-05-31,2.127
1980-06-30,1.196
1980-07-31,1.101
1980-08-31,1.013
1980-09-30,1.981
1980-10-31,7.914
1980-11-30,6.255
1980-12-31,
1981-01-31,
1981-02-28,9.682
1981-03-31,6.517
1981-04-30,5.871
1981-05-31,2.488
1981-06-30,3.340
1981-07-31,1.470
1981-08-31,1.618
1981-09-30,3.485
1981-10-31,3.319
1981-11-30,8.217
1981-12-31,12.320
1982-01-31,11.689
1982-02-28,4.665
1982-03-31,5.873
1982-04-30,1.790
1982-05-31,1.358
1982-06-30,0.848
1982-07-31,0.589
1982-08-31,0.469
1982-09-30,
1982-10-31,0.580
1982-11-30,3.106
1982-12-31,6.801
1983-01-31,7.391
1983-02-28,4.751
1983-03-31,3.982
1983-04-30,7.141
1983-05-31,2.223
1983-06-30,0.979
1983-07-31,0.601
1983-08-31,0.488
1983-09-30,1.743
1983-10-31,6.405
1983-11-30,4.836
1983-12-31,9.428
1984-01-31,12.718
1984-02-29,5.950
1984-03-31,6.803
1984-04-30,5.465
1984-05-31,2.603
1984-06-30,1.273
1984-07-31,0.987
1984-08-31,
1984-09-30,
1984-10-31,
1984-11-30,
1984-12-31,5.183
1985-01-31,8.583
1985-02-28,6.626
1985-03-31,6.000
1985-04-30,3.529
1985-05-31,4.479
1985-06-30,1.863
1985-07-31,1.504
1985-08-31,5.000
1985-09-30,4.417
1985-10-31,8.372
1985-11-30,4.457
1985-12-31,4.256
1986-01-31,6.996
1986-02-28,5.401
1986-03-31,4.891
1986-04-30,2.876
1986-05-31,3.648
1986-06-30,1.519
1986-07-31,1.223
1986-08-31,4.062
1986-09-30,3.343
1986-10-31,6.811
1986-11-30,3.623
1986-12-31,15.382
1987-01-31,12.526
1987-02-28,6.972
1987-03-31,4.195
1987-04-30,2.447
1987-05-31,1.602
1987-06-30,0.831
1987-07-31,0.432
1987-08-31,0.370
1987-09-30,0.567
1987-10-31,1.181
1987-11-30,2.788
1987-12-31,5.139
1988-01-31,6.198
1988-02-29,6.119
1988-03-31,3.934
1988-04-30,4.443
1988-05-31,1.526
1988-06-30,0.876
1988-07-31,1.192
1988-08-31,0.955
1988-09-30,3.942
1988-10-31,3.678
1988-11-30,6.350
1988-12-31,6.480
1989-01-31,8.814
1989-02-28,8.008
1989-03-31,4.548
1989-04-30,5.121
1989-05-31,3.432
1989-06-30,2.066
1989-07-31,2.495
1989-08-31,2.299
1989-09-30,2.334
1989-10-31,2.416
1989-11-30,4.413
1989-12-31,12.538
1990-01-31,7.349
1990-02-28,6.510
1990-03-31,4.053
1990-04-30,4.914
1990-05-31,5.249
1990-06-30,2.520
1990-07-31,2.164
1990-08-31,2.581
1990-09-30,1.657
1990-10-31,1.560
1990-11-30,5.692
1990-12-31,9.287
1991-01-31,15.204
1991-02-28,6.455
1991-03-31,4.063
1991-04-30,2.504
1991-05-31,1.798
1991-06-30,1.464
1991-07-31,0.799
1991-08-31,0.667
1991-09-30,2.339
1991-10-31,4.947
1991-11-30,5.707
1991-12-31,6.826
1992-01-31,6.214
1992-02-29,6.175
1992-03-31,5.063
1992-04-30,3.658
1992-05-31,3.416
1992-06-30,1.342
1992-07-31,1.666
1992-08-31,2.639
1992-09-30,5.270
1992-10-31,6.914
1992-11-30,8.359
1992-12-31,10.170
1993-01-31,16.507
1993-02-28,3.623
1993-03-31,8.566
1993-04-30,8.457
1993-05-31,4.526
1993-06-30,2.591
1993-07-31,1.753
1993-08-31,1.645
1993-09-30,1.687
1993-10-31,5.081
1993-11-30,6.242
1993-12-31,4.951
1994-01-31,4.177
1994-02-28,4.248
1994-03-31,2.521
1994-04-30,1.612
1994-05-31,0.770
1994-06-30,0.573
1994-07-31,0.472
1994-08-31,0.421
1994-09-30,0.418
1994-10-31,0.614
1994-11-30,1.101
1994-12-31,4.332
1995-01-31,5.859
1995-02-28,5.639
1995-03-31,4.147
1995-04-30,3.750
1995-05-31,2.957
1995-06-30,1.499
1995-07-31,0.671
1995-08-31,0.781
1995-09-30,2.097
1995-10-31,3.500
1995-11-30,3.398
1995-12-31,4.972
1996-01-31,6.000
1996-02-29,4.832
1996-03-31,3.807
1996-04-30,1.926
1996-05-31,1.524
1996-06-30,1.477
1996-07-31,1.401
1996-08-31,1.336
1996-09-30,2.540
1996-10-31,3.624
1996-11-30,3.698
1996-12-31,9.059
1997-01-31,5.141
1997-02-28,3.810
1997-03-31,3.116
1997-04-30,2.025
1997-05-31,1.589
1997-06-30,1.169
1997-07-31,0.763
1997-08-31,0.721
1997-09-30,0.813
1997-10-31,1.371
1997-11-30,5.716
1997-12-31,6.405
1998-01-31,7.262
1998-02-28,6.615
1998-03-31,7.465
1998-04-30,6.368
1998-05-31,4.402
1998-06-30,4.048
1998-07-31,3.652
1998-08-31,2.761
1998-09-30,4.374
1998-10-31,4.673
1998-11-30,3.963
1998-12-31,3.647
1999-01-31,4.531
1999-02-28,2.755
1999-03-31,1.705
1999-04-30,1.120
1999-05-31,0.921
1999-06-30,0.624
1999-07-31,0.490
1999-08-31,0.490
1999-09-30,0.766
1999-10-31,1.507
1999-11-30,
1999-12-31,
2000-01-31,
2000-02-29,
2000-03-31,10.833
2000-04-30,8.888
2000-05-31,7.620
2000-06-30,2.129
2000-07-31,1.836
2000-08-31,1.079
2000-09-30,
2000-10-31,15.547
2000-11-30,6.203
2000-12-31,1.658
2001-01-31,3.615
2001-02-28,2.589
2001-03-31,1.899
2001-04-30,1.242
2001-05-31,1.357
2001-06-30,1.341
2001-07-31,0.930
2001-08-31,1.039
2001-09-30,3.208
2001-10-31,3.300
2001-11-30,1.455
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,3.743
2004-01-31,9.035
2004-02-29,6.100
2004-03-31,4.774
2004-04-30,4.001
2004-05-31,1.922
2004-06-30,3.296
2004-07-31,5.470
2004-08-31,2.605
2004-09-30,2.465
2004-10-31,3.448
2004-11-30,6.989
2004-12-31,1.947
2005-01-31,2.368
2005-02-28,2.317
2005-03-31,2.125
2005-04-30,1.561
2005-05-31,1.304
2005-06-30,0.921
2005-07-31,0.645
2005-08-31,0.788
2005-09-30,1.640
2005-10-31,1.815
2005-11-30,3.152
2005-12-31,
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,2.678
2007-01-31,3.658
2007-02-28,3.513
2007-03-31,4.142
2007-04-30,1.519
2007-05-31,1.825
2007-06-30,1.056
2007-07-31,0.538
2007-08-31,0.441
2007-09-30,0.593
2007-10-31,1.419
2007-11-30,4.017
2007-12-31,3.003
2008-01-31,7.618
2008-02-29,4.551
2008-03-31,2.894
2008-04-30,1.708
2008-05-31,0.866
2008-06-30,1.333
2008-07-31,0.705
2008-08-31,0.859
2008-09-30,1.399
2008-10-31,4.947
2008-11-30,3.475
2008-12-31,4.273
2009-01-31,6.288
2009-02-28,4.622
2009-03-31,2.905
2009-04-30,1.709
2009-05-31,0.866
2009-06-30,0.582
2009-07-31,0.429
2009-08-31,0.432
2009-09-30,0.801
2009-10-31,1.195
